;Q46;Q53;Q54;Q56;Q57;Q59;Q62;Q64;Q66;Q67;Q68;Q70;Q72;Q75;Q80
Q46;0;0.9214266;0.82141906;0.7795256;0.66790783;0.8979968;0.83930075;0.8067411;0.784019;0.87255687;0.8892281;0.8752629;0.89274675;0.9526429;0.95375484
Q53;0.9214266;0;0.66800714;0.76036036;0.8894381;0.739229;0.8090482;0.8274164;0.8495467;0.7277752;0.81623375;0.8204662;0.90840995;0.924148;0.93963027
Q54;0.82141906;0.66800714;0;0.7701538;0.8698197;0.79919803;0.80909324;0.839351;0.8517709;0.76046336;0.8400994;0.81685275;0.8967136;0.9362999;0.9339051
Q56;0.7795256;0.76036036;0.7701538;0;0.82622224;0.7920022;0.71642166;0.6685123;0.7432849;0.7141397;0.75388324;0.7775841;0.87576646;0.94601816;0.93925655
Q57;0.66790783;0.8894381;0.8698197;0.82622224;0;0.87862396;0.8343207;0.8092572;0.73170733;0.87847054;0.8881912;0.8426468;0.90102243;0.96378225;0.9247417
Q59;0.8979968;0.739229;0.79919803;0.7920022;0.87862396;0;0.7248908;0.803351;0.8347537;0.7348276;0.8252001;0.79144657;0.9207973;0.94214875;0.940523
Q62;0.83930075;0.8090482;0.80909324;0.71642166;0.8343207;0.7248908;0;0.71057045;0.76222134;0.7379171;0.77718526;0.7568054;0.8833449;0.93875176;0.9270369
Q64;0.8067411;0.8274164;0.839351;0.6685123;0.8092572;0.803351;0.71057045;0;0.6781632;0.72675025;0.75340396;0.7503113;0.85419357;0.91177106;0.9307479
Q66;0.784019;0.8495467;0.8517709;0.7432849;0.73170733;0.8347537;0.76222134;0.6781632;0;0.7571358;0.7841491;0.79825073;0.8943548;0.9378692;0.9485593
Q67;0.87255687;0.7277752;0.76046336;0.7141397;0.87847054;0.7348276;0.7379171;0.72675025;0.7571358;0;0.7172657;0.72462463;0.8462289;0.93634295;0.9223953
Q68;0.8892281;0.81623375;0.8400994;0.75388324;0.8881912;0.8252001;0.77718526;0.75340396;0.7841491;0.7172657;0;0.7420382;0.87664974;0.9414609;0.9312077
Q70;0.8752629;0.8204662;0.81685275;0.7775841;0.8426468;0.79144657;0.7568054;0.7503113;0.79825073;0.72462463;0.7420382;0;0.7895553;0.9345094;0.87143487
Q72;0.89274675;0.90840995;0.8967136;0.87576646;0.90102243;0.9207973;0.8833449;0.85419357;0.8943548;0.8462289;0.87664974;0.7895553;0;0.811557;0.7583799
Q75;0.9526429;0.924148;0.9362999;0.94601816;0.96378225;0.94214875;0.93875176;0.91177106;0.9378692;0.93634295;0.9414609;0.9345094;0.811557;0;0.73580325
Q80;0.95375484;0.93963027;0.9339051;0.93925655;0.9247417;0.940523;0.9270369;0.9307479;0.9485593;0.9223953;0.9312077;0.87143487;0.7583799;0.73580325;0